] c0      1 i2c-core: driver [pn544] using legacy suspend method
<7>[   12.174210] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<7>[   12.174423] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   12.174454] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.174484] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   12.174515] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<6>[   12.174729] c0    624 [PS][cm3629] psensor_ioctl cmd 2
<6>[   12.174759] c0    624 [PS][cm3629] psensor_disable 0
<6>[   12.174759] c0    624 [PS][cm3629] psensor_disable: already disabled
<6>[   12.176163] c0    624 [PS][cm3629] psensor_release
<3>[   12.359285] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   12.515428] c1    548 usb_wwan_close
<7>[   12.519059] c3    218 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 5
<7>[   12.519121] c3    218 [MDM][COMM] mdm_modem_ioctl: check if mdm is booted up
<6>[   12.519182] c3    218 [MDM][COMM] mdm_modem_ioctl: normal boot done
<7>[   12.611567] c1     75 [MDM][COMM] mdm_status_change: mdm sent status change interrupt
<6>[   12.611628] c1    108 [MDM] mdm_status_changed: MDM2AP_STATUS_GPIO changed to 1
<6>[   12.611628] c1    108 [MDM] mdm_peripheral_disconnect+
<6>[   12.705112] c1    108 ehci_hsic_msm_remove(2383): mdm_hsic_usb_hcd:0x0
<6>[   12.708011] c1    108 msm_hsic_host msm_hsic_host: remove, state 1
<6>[   12.708072] c1    108 usb usb1: USB disconnect, device number 1
<6>[   12.708072] c1    108 usb 1-1: USB disconnect, device number 2
<6>[   12.708622] c1    108 qcserial ttyUSB0: Qualcomm USB modem converter now disconnected from ttyUSB0
<6>[   12.708713] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d0 put de7c4000
<6>[   12.708744] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d0 put de7c8000
<6>[   12.708774] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d0 put de7cc000
<6>[   12.708774] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d0 put de7d0000
<6>[   12.708805] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d0 put de7d4000
<6>[   12.708835] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d8 put de7e0000
<6>[   12.708866] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d8 put de7f0000
<6>[   12.708866] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d8 put de000000
<6>[   12.708896] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d8 put de010000
<6>[   12.708896] c1    108 [WWAN_POOL] htc_put_wwan_buffer(71): list c0f3a7d8 put de020000
<6>[   12.708957] c1    108 qcserial 1-1:1.0: device disconnected
<6>[   12.710544] c1    108 msm_hsic_host msm_hsic_host: USB bus 1 deregistered
<6>[   12.710666] c1    108 ehci_hsic_msm_remove[2404] pm_qos_remove_request pm_qos_req_dma_htc
<6>[   12.710697] c1    108 msm_hsic_host msm_hsic_host: ehci_hsic_msm_remove[2415] usage_count is [0] msm_hsic_host_dev:0x  (null) &pdev->dev:0xc0d653d8 mdm_is_in_restart:0
<6>[   12.710880] c1    108 [MDM] mdm_peripheral_disconnect-
<6>[   12.710911] c1    108 [MDM] mdm_peripheral_connect+
<6>[   12.718022] c0    668 kgsl: kgsl_driver.stats.page_alloc = 5726208
<6>[   12.718022] c0    668 kgsl: kgsl_driver.stats.page_alloc_kernel = 65536
<6>[   12.718022] c0    668 kgsl: kgsl_driver.stats.pre_alloc = 17039360
<6>[   12.718052] c0    668 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   12.723760] c1    108 msm_hsic_host msm_hsic_host: Qualcomm EHCI Host Controller using HSIC
<6>[   12.723790] c1    108 msm_hsic_host msm_hsic_host: new USB bus registered, assigned bus number 1
<6>[   12.744727] c3    108 msm_hsic_host msm_hsic_host: irq 261, io mem 0x12510000
<6>[   12.764901] c3    108 msm_hsic_host msm_hsic_host: USB 2.0 started, EHCI 1.00
<6>[   12.765664] c3    108 usb usb1: New USB device found, idVendor=1d6b, idProduct=0002
<6>[   12.765725] c3    108 usb usb1: New USB device strings: Mfr=3, Product=2, SerialNumber=1
<6>[   12.765786] c3    108 usb usb1: Product: Qualcomm EHCI Host Controller using HSIC
<6>[   12.765878] c3    108 usb usb1: Manufacturer: Linux 3.4.10-g445d072 ehci_hcd
<6>[   12.765939] c3    108 usb usb1: SerialNumber: msm_hsic_host
<6>[   12.767617] c3    108 usb usb1: adding 1-0:1.0 (config #1, interface 0)
<6>[   12.768380] c3    108 hub 1-0:1.0: USB hub found
<6>[   12.768533] c3    108 hub 1-0:1.0: 1 port detected
<6>[   12.768838] c3    108 hub 1-0:1.0: usb_probe_interface[297] needs_remote_wakeup:1
<6>[   12.769815] c3    108 usb usb1: udev(usb1)->enable_pm_debug=[0]
<6>[   12.770486] c3    108 ehci_hsic_msm_probe[2257] pm_qos_add_request pm_qos_req_dma_htc
<6>[   12.771738] c1    108 ehci_hsic_msm_probe(2325): mdm_hsic_usb_hcd:0xde3df800
<6>[   12.772256] c1    108 [MDM] mdm_peripheral_connect-
<7>[   12.772348] c1    108 [MDM][COMM] mdm_status_fn: status:1
<6>[   12.772409] c1    108 [MDM][COMM] mdm_status_fn: status = 1: mdm is now ready
<6>[   12.774851] c3    218 [MDM][COMM] mdm_hsic_reconnectd_check_fn: return 1
<6>[   12.774912] c3    218 [MDM][COMM] mdm_modem_ioctl: ret_mdm_hsic_reconnectd == 1
<3>[   12.859667] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   12.865191] c0     26 hub 1-0:1.0: !connect_change && !wakeup_change 
<3>[   13.360262] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   13.474958] c3     26 hub_port_wait_reset: portstatus = 0x00000503 portchange = 0x00000000
<3>[   13.534716] c3     26 usb 1-1: hub_port_init[2569] hub_port_reset retval:0
<6>[   13.534716] c3     26 usb 1-1: new high-speed USB device number 2 using msm_hsic_host
<3>[   13.544849] c1     26 usb 1-1: hub_port_init[2693] hub_set_address devnum:2 retval:0
<6>[   13.550740] c0    243 ion_client_create: create ion_client (hcheck) at dd64a380
<4>[   13.556203] c0    243 QSEECOM: qseecom_load_app: App (hcheck) does not exist, loading apps for first time
<4>[   13.575461] c0    243 QSEECOM: qseecom_load_app: App with id 1 (hcheck) now loaded
<6>[   13.575644] c0    243 ion_client_destroy: destroy ion_client dd64a380 (hcheck)
<6>[   13.575705] c0    243 ion_client_create: create ion_client (hcheck) at dd64a380
<3>[   13.582115] c1     26 usb 1-1: hub_port_init[2720] usb_get_device_descriptor retval:8
<3>[   13.582267] c0    243 QSEECOM: __qseecom_process_incomplete_cmd: Response result -1 not supported
<3>[   13.582298] c0    243 QSEECOM: __qseecom_send_cmd: process_incomplete_cmd failed err: -22
<3>[   13.582298] c0    243 QSEECOM: qseecom_ioctl: failed qseecom_send_cmd: -22
<4>[   13.582786] c0    243 QSEECOM: qseecom_unload_app: App id 1 now unloaded
<6>[   13.582878] c0    243 ion_client_destroy: destroy ion_client dd64a380 (hcheck)
<6>[   13.646207] c2     26 usb 1-1: New USB device found, idVendor=05c6, idProduct=9048
<6>[   13.646329] c2     26 usb 1-1: New USB device strings: Mfr=3, Product=2, SerialNumber=0
<6>[   13.646452] c2     26 usb 1-1: Product: Qualcomm CDMA Technologies MSM
<6>[   13.646543] c2     26 usb 1-1: Manufacturer: Qualcomm, Incorporated
<6>[   13.662383] c2     26 usb 1-1: adding 1-1:1.0 (config #1, interface 0)
<7>[   13.663299] c2     26 [HSIC][SYSMON] id:1
<6>[   13.665496] c2     26 diag_bridge 1-1:1.0: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.666381] c2     26 usb 1-1: adding 1-1:1.1 (config #1, interface 1)
<7>[   13.667022] c2     26 [HSIC][SYSMON] id:1
<6>[   13.667633] c2     26 [SYSMON] sysmon_probe() name=sys_mon
<7>[   13.667755] c2     26 [HSIC][SYSMON] complete
<6>[   13.667816] c2     26 hsic_sysmon 1-1:1.1: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.668518] c2     26 usb 1-1: adding 1-1:1.2 (config #1, interface 2)
<7>[   13.669281] c2     26 [HSIC][SYSMON] id:1
<6>[   13.669861] c2     26 qcserial 1-1:1.2: Qualcomm USB modem converter detected
<6>[   13.670013] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d0 get de7c4000
<6>[   13.670074] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d0 get de7c8000
<6>[   13.670135] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d0 get de7cc000
<6>[   13.670227] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d0 get de7d0000
<6>[   13.670288] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d0 get de7d4000
<6>[   13.670349] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d8 get de7e0000
<6>[   13.670441] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d8 get de7f0000
<6>[   13.670532] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d8 get de000000
<6>[   13.670624] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d8 get de010000
<6>[   13.670685] c2     26 [WWAN_POOL] htc_get_wwan_buffer(90): list c0f3a7d8 get de020000
<6>[   13.671936] c2     26 usb 1-1: Qualcomm USB modem converter now attached to ttyUSB0
<6>[   13.672089] c2     26 qcserial 1-1:1.2: usb_probe_interface[297] needs_remote_wakeup:1
<6>[   13.672791] c2     26 usb 1-1: adding 1-1:1.3 (config #1, interface 3)
<7>[   13.673523] c2     26 [HSIC][SYSMON] id:1
<6>[   13.674408] c2     26 bridge_probe: iface number is 3
<6>[   13.678406] c2     26 mdm_bridge 1-1:1.3: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.679352] c2     26 usb 1-1: adding 1-1:1.4 (config #1, interface 4)
<7>[   13.680940] c2     26 [HSIC][SYSMON] id:1
<6>[   13.681794] c2     26 bridge_probe: iface number is 4
<6>[   13.686006] c2     26 mdm_bridge 1-1:1.4: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.686189] c2     26 usb 1-1: adding 1-1:1.5 (config #1, interface 5)
<7>[   13.686433] c2     26 [HSIC][SYSMON] id:1
<7>[   13.687166] c2     26 [NET][CORE][RULE] attach_rules 
<7>[   13.687166] c2     26 [NET][CORE][RULE] attach_rules 
<6>[   13.687471] c2     26 rmnet_usb 1-1:1.5: rmnet_usb0: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 02:31:b0:aa:df:a6
<6>[   13.687471] c2     26 rmnet_usb 1-1:1.5: rmnet_usb0: [RMNET_D]> create device flag file
<6>[   13.693972] c2     26 rmnet_usb 1-1:1.5: rmnet_usb_ctrl_probe[1152]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<6>[   13.694063] c2     26 rmnet_usb 1-1:1.5: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.694216] c2     26 usb 1-1: adding 1-1:1.6 (config #1, interface 6)
<7>[   13.694521] c2     26 [HSIC][SYSMON] id:1
<7>[   13.696017] c2     26 [NET][CORE][RULE] attach_rules 
<7>[   13.696017] c2     26 [NET][CORE][RULE] attach_rules 
<6>[   13.696505] c2     26 rmnet_usb 1-1:1.6: rmnet_usb1: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 02:31:b0:aa:df:a6
<6>[   13.696505] c2     26 rmnet_usb 1-1:1.6: rmnet_usb1: [RMNET_D]> create device flag file
<6>[   13.701968] c2     26 rmnet_usb 1-1:1.6: rmnet_usb_ctrl_probe[1152]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<7>[   13.775705] c3    218 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 7
<7>[   13.775797] c3    218 [MDM][COMM] mdm_modem_ioctl: wait for mdm to need images reloaded
<6>[   13.775888] c3    218 [MDM][COMM] dump_gpio: MDM2AP_STATUS	= 1
<6>[   13.775949] c3    218 [MDM][COMM] dump_gpio: MDM2AP_ERRFATAL	= 0
<7>[   13.795544] c1    693 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 95
<6>[   13.795544] c1    693 [MDM][COMM] mdm_modem_ioctl:get_radio_flag()=0
<6>[   13.824843] c1     26 rmnet_usb 1-1:1.6: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.825911] c1     26 usb 1-1: adding 1-1:1.7 (config #1, interface 7)
<7>[   13.826735] c1     26 [HSIC][SYSMON] id:1
<7>[   13.829238] c1     26 [NET][CORE][RULE] attach_rules 
<7>[   13.829299] c1     26 [NET][CORE][RULE] attach_rules 
<6>[   13.830856] c1     26 rmnet_usb 1-1:1.7: rmnet_usb2: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 02:31:b0:aa:df:a6
<6>[   13.830947] c1     26 rmnet_usb 1-1:1.7: rmnet_usb2: [RMNET_D]> create device flag file
<6>[   13.838089] c1     26 rmnet_usb 1-1:1.7: rmnet_usb_ctrl_probe[1152]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<6>[   13.860613] c0    219 rmnet_usb 1-1:1.5: rmnet_ctl_open[759]:mdm_wait_timeout:0 resp_available:0
<3>[   13.860643] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   13.984739] c0     26 rmnet_usb 1-1:1.7: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   13.985136] c0     26 usb 1-1: adding 1-1:1.8 (config #1, interface 8)
<7>[   13.985441] c0     26 [HSIC][SYSMON] id:1
<7>[   13.986235] c0     26 [NET][CORE][RULE] attach_rules 
<7>[   13.986235] c0     26 [NET][CORE][RULE] attach_rules 
<6>[   13.986784] c0     26 rmnet_usb 1-1:1.8: rmnet_usb3: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 02:31:b0:aa:df:a6
<6>[   13.986815] c0     26 rmnet_usb 1-1:1.8: rmnet_usb3: [RMNET_D]> create device flag file
<6>[   13.990447] c0     26 rmnet_usb 1-1:1.8: rmnet_usb_ctrl_probe[1152]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<6>[   14.091927] c0     26 rmnet_usb 1-1:1.8: usb_probe_interface[297] needs_remote_wakeup:0
<6>[   14.092293] c0     26 mdm_hsic_usb_device_add_handler(696) USB device added 2 <Qualcomm, Incorporated Qualcomm CDMA Technologies MSM>
<6>[   14.092293] c0     26 mdm_hsic_usb_device_add_handler: usb 1-1 found 
<6>[   14.092324] c0     26 mdm_hsic_usb_device_add_handler: msm_hsic_host_dev:c0d653d8 
<6>[   14.092324] c0     26 usb 1-1: udev(1-1)->enable_pm_debug=[0]
<6>[   14.361117] c0    219 rmnet_usb 1-1:1.5: rmnet_ctl_open[759]:mdm_wait_timeout:0 resp_available:0
<3>[   14.361208] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   14.638089] c0    638 rmnet_usb 1-1:1.5: notification_available_cb[360]:dev->resp_available:1
<6>[   14.638150] c0    638 rmnet_usb 1-1:1.6: notification_available_cb[360]:dev->resp_available:1
<6>[   14.638180] c0    638 rmnet_usb 1-1:1.7: notification_available_cb[360]:dev->resp_available:1
<6>[   14.638242] c0    638 rmnet_usb 1-1:1.8: notification_available_cb[360]:dev->resp_available:1
<6>[   14.861803] c0    219 rmnet_usb 1-1:1.5: rmnet_ctl_open[759]:mdm_wait_timeout:0 resp_available:1
<6>[   15.363375] c0    219 rmnet_usb 1-1:1.6: rmnet_ctl_open[759]:mdm_wait_timeout:0 resp_available:1
<6>[   15.364504] c0    219 rmnet_usb 1-1:1.7: rmnet_ctl_open[759]:mdm_wait_timeout:0 resp_available:1
<6>[   15.365695] c0    219 rmnet_usb 1-1:1.8: rmnet_ctl_open[759]:mdm_wait_timeout:0 resp_available:1
<6>[   15.422188] c0    166 rmnet_usb 1-1:1.5: autosuspend_check: EBUSY, cnt 1
<6>[   15.524950] c3     20 [MDM][COMM] mdm_status_check_fn mdm_status_change notified? Y
<6>[   15.710178] c0    166 rmnet_usb 1-1:1.5: autosuspend_check: EBUSY, cnt 1
<6>[   15.726171] c0    166 rmnet_usb 1-1:1.5: autosuspend_check: EBUSY, cnt 1
<6>[   15.818617] c3    718 usb_wwan_open
<6>[   16.550312] c0    166 rmnet_usb 1-1:1.5: autosuspend_check: EBUSY, cnt 1
<6>[   18.265099] c0    166 ehci_hsic_bus_suspend: Suspend RH
<6>[   18.269159] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   18.269159] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   18.269250] c0    166 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
<6>[   19.345460] c0    659 [HSIC] msm_hsic_wakeup_irq: hsic remote wakeup interrupt cnt: 1  at 19340946958 (2013-09-23 03:16:54.654312071 UTC)
<6>[   19.345856] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   19.346436] c0    166 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   19.346711] c1    671 msm_hsic_resume_thread: Resume RH
<6>[   19.388432] c0    166 usb usb1: usb_resume_both[1023] resume intf n:1
<6>[   19.413856] c0     26 usb 1-1: usb_resume_both[1023] resume intf n:9
<6>[   20.362032] c3      0 [PM] CPU3: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[   20.367831] c1     20 [MPDEC]: CPU[3] on->off | Mask=[1110] | time online: 20363
<6>[   20.903250] c1      0 [PM] CPU1: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[   20.911490] c0     20 [MPDEC]: CPU[1] on->off | Mask=[1010] | time online: 20906
<6>[   21.275476] c0    149 ehci_hsic_bus_suspend: Suspend RH
<6>[   21.275965] c0    149 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   21.276056] c0    149 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   21.276697] c0    149 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
<6>[   21.634732] c0    149 [HSIC] msm_hsic_wakeup_irq: hsic remote wakeup interrupt cnt: 2  at 21630127485 (2013-09-23 03:16:56.943645200 UTC)
<6>[   21.635098] c0    149 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   21.635251] c0    149 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   21.636166] c0    671 msm_hsic_resume_thread: Resume RH
<6>[   21.674958] c0    149 usb usb1: usb_resume_both[1023] resume intf n:1
<6>[   21.707584] c0     26 usb 1-1: usb_resume_both[1023] resume intf n:9
<6>[   21.824538] c2      0 [PM] CPU2: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[   21.827407] c0    108 [MPDEC]: CPU[2] on->off | Mask=[1000] | time online: 21822
<6>[   23.264947] c0    166 ehci_hsic_bus_suspend: Suspend RH
<6>[   23.265557] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime idle
<6>[   23.265618] c0    166 msm_hsic_host msm_hsic_host: EHCI runtime suspend
<6>[   23.266687] c0    166 msm_hsic_host msm_hsic_host: HSIC-USB in low power mode
<6>[   26.404669] c0    108 [AUD] apr: apr_q6_check_worker: 2
<6>[   26.747047] c0    659 [BATT][BMS] cc_uah = -333074uAh, raw->cc = fb61f9a8, cc = -77465176 after subtracting 0
<6>[   26.749397] c0    659 [VIB_PWM]pm8xxx_vib_enable vibrate period: 0 msec
<6>[   26.749427] c0    659 [VIB_PWM]pm8xxx_vib_set_off 
<6>[   26.753761] c0    659 request_suspend_state: wakeup (3->0) at 26749156936 (2013-09-23 03:17:02.062674651 UTC)
<6>[   26.765725] c0    659 alarm 1 set 1379906280.000000000
<7>[   26.849565] c0    661 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 0, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   26.850328] c0    661 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Normal Mode
<7>[   26.850358] c0    661 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   26.850358] c0    661 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 0
<6>[   26.850419] c0    661 MPL-accODR: 31250 
<7>[   26.850480] c0    661 [GSNR][MPU3050][TIMERIRQ]stop_timerirq: data->period = 0, data->run = 0
<7>[   26.850480] c0    661 [GSNR][MPU3050][TIMERIRQ]start_timerirq: data->period = 200
<7>[   26.880756] c0    661 [GSNR][MPU3050][TIMERIRQ]stop_timerirq: data->period = 200, data->run = 1
<7>[   26.884724] c0    661 [GSNR][MPU3050][TIMERIRQ]start_timerirq: data->period = 66
<6>[   26.884816] c0    661 MPL-accODR: 31250 
<6>[   26.899130] c0     20 [MPDEC]: CPU[1] off->on | Mask=[1100]
<6>[   27.167923] c1     20 [MPDEC]: CPU[2] off->on | Mask=[1110]
<6>[   27.561147] c2      0 [PM] CPU2: msm_pm_power_collapse: change clock rate (old rate = 0)
<4>[   27.561849] c1     20 [PM] msm_pm_wait_cpu_shutdown(): Timed out waiting for CPU 2 SPM to enter sleep stateCPU2: unable to kill
<6>[   27.562795] c1     20 [MPDEC]: CPU[2] on->off | Mask=[1100] | time online: 395
<6>[   27.753212] c1    661 ion_client_create: create ion_client (system_server) at de792200
<3>[   27.770059] c0      1 init: sys_prop: permission denied uid:1003  name:service.bootanim.ready
<3>[   27.770242] c0      1 init: sys_prop: permission denied uid:1003  name:service.bootanim.exit
<6>[   27.791149] c0    495 ion_client_destroy: destroy ion_client dd4efc00 (bootanimation)
<3>[   27.792156] c0      1 init: cannot find '/system/bin/thermald', disabling 'thermald'
<6>[   27.810529] c0    787 [BATT][CHG] set mitigation level(0) current=1100
<6>[   27.810834] c0    787 [BATT] Set context disable_limit_chg = 0 at 27806230033 (2013-09-23 03:17:03.119747748 UTC)
<6>[   27.820204] c0     20 [MPDEC]: CPU[2] off->on | Mask=[1110]
<3>[   27.895681] c1      1 init: untracked pid 217 exited
<6>[   28.129070] c1    659 kgsl: kgsl_driver.stats.page_alloc = 3002368
<6>[   28.129101] c1    659 kgsl: kgsl_driver.stats.page_alloc_kernel = 32768
<6>[   28.129101] c1    659 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   28.129101] c1    659 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   28.257378] c1    659 [LED]pm8xxx_led_gpio_set, bank:1, brightness:0 sync: 1
<6>[   28.257530] c1    659 [LED]pm8xxx_led_blink_store: bank 1 blink 0 sync 1
<6>[   28.257530] c1    659 [BB] blink value: 0
<6>[   28.257652] c1    659 [BB] blink off  screen: 1 j: 4294940121 
<6>[   28.257714] c1    659 [LED]Setting amber off_timer to 0 min 0 sec 
<6>[   28.257805] c1    659 [LED]pm8xxx_led_gpio_set, bank:0, brightness:0 sync: 1
<6>[   28.257958] c1    659 [LED]pm8xxx_led_blink_store: bank 0 blink 0 sync 1
<6>[   28.257958] c1    659 [BB] blink value: 0
<6>[   28.258080] c1    659 [BB] blink off  screen: 1 j: 4294940121 
<6>[   28.258141] c1    659 [LED]Setting green off_timer to 0 min 0 sec 
<6>[   28.767892] c1    659 [USB] show_ats: 0
<6>[   28.767892] c1    659 
<6>[   28.770425] c1    659 acc_open
<6>[   28.770456] c1    659 acc_release
<6>[   29.141919] c2      0 [PM] CPU2: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[   29.144269] c0     20 [MPDEC]: CPU[2] on->off | Mask=[1100] | time online: 1324
<6>[   29.388768] c0    659 alarm 0 set 1379909870.481000000
<6>[   29.474195] c1    659 [VIB_PWM]pm8xxx_vib_enable vibrate period: 0 msec
<6>[   29.474195] c1    659 [VIB_PWM]pm8xxx_vib_set_off 
<6>[   29.478040] c1    659 [VIB_PWM]pm8xxx_vib_enable vibrate period: 0 msec
<6>[   29.478071] c1    659 [VIB_PWM]pm8xxx_vib_set_off 
<6>[   29.544849] c0    661 kgsl: kgsl_driver.stats.page_alloc = 3002368
<6>[   29.544880] c0    661 kgsl: kgsl_driver.stats.page_alloc_kernel = 32768
<6>[   29.544880] c0    661 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   29.544880] c0    661 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   29.545917] c0    661 kgsl: kgsl_driver.stats.page_alloc = 3002368
<6>[   29.545917] c0    661 kgsl: kgsl_driver.stats.page_alloc_kernel = 32768
<6>[   29.545948] c0    661 kgsl: kgsl_driver.stats.pre_alloc = 0
<6>[   29.545948] c0    661 kgsl: kgsl_driver.stats.pre_alloc_kernel = 0
<6>[   29.559621] c1    740 [LS][cm3629] lightsensor_open
<6>[   29.559652] c1    740 [LS][cm3629] lightsensor_ioctl LIGHTSENSOR_IOCTL_ENABLE, value = 1
<6>[   29.559652] c1    740 [LS][cm3629] lightsensor_enable
<6>[   29.560415] c1    843 [BB] led_current_set 0 
<6>[   29.560445] c1    843 [LED]pm8xxx_led_current_set_flagged, bank:6, brightness:0
<6>[   29.571310] c1    843 [DISP] brightness orig=102, transformed=57
<6>[   29.642759] c0    661 [HSIC] msm_hsic_wakeup_irq: hsic remote wakeup interrupt cnt: 3  at 29638154342 (2013-09-23 03:17:04.951672057 UTC)
<6>[   29.642820] c0    149 msm_hsic_host msm_hsic_host: EHCI runtime resume
<6>[   29.642942] c0    149 msm_hsic_host msm_hsic_host: HSIC-USB exited from low power mode
<6>[   29.642972] c0    671 msm_hsic_resume_thread: Resume RH
<6>[   29.674683] c0    149 usb usb1: usb_resume_both[1023] resume intf n:1
<6>[   29.706790] c0     26 usb 1-1: usb_resume_both[1023] resume intf n:9
<6>[   29.724706] c1    740 [LS][cm3629] get_ls_adc_value:resume 1
<6>[   29.725072] c1    740 [LS][cm3629] get_ls_adc_value: raw adc = 0x0, ls_calibrate = 0
<6>[   29.725072] c1    740 [cm3629] set_lsensor_range: low_thd = 0x0, high_thd = 0x1 
<6>[   29.725347] c1    740 [LS][cm3629] report_lsensor_input_event: ADC=0x000, Level=0, l_thd equal 0, h_thd = 0x1 
<6>[   29.789745] c0     20 [MPDEC]: CPU[2] off->on | Mask=[1110]
<6>[   29.830367] c1    842 [BB] led_current_set 205 
<6>[   29.830367] c1    842 [LED]pm8xxx_led_current_set_flagged, bank:6, brightness:205
<6>[   29.848130] c1    898 [DISP] brightness orig=99, transformed=55
<6>[   30.042179] c0    899 [DISP] brightness orig=72, transformed=38
<6>[   30.049046] c1    900 [DISP] brightness orig=70, transformed=37
<6>[   30.065588] c1    900 [DISP] brightness orig=67, transformed=35
<6>[   30.082740] c2    901 [DISP] brightness orig=65, transformed=34
<6>[   30.099374] c0    843 [DISP] brightness orig=62, transformed=32
<6>[   30.116343] c1    898 [DISP] brightness orig=60, transformed=31
<6>[   30.130138] c1    659 alarm 3 set 900.000000000
<6>[   30.133679] c1    899 [DISP] brightness orig=57, transformed=29
<6>[   30.150648] c1    900 [DISP] brightness orig=55, transformed=28
